question_id,question_type,claim_number,claim,retrieved_chunk_ids,supported,supporting_chunk_ids,review_notes,citation_covered
K01,Known,1,A rental provider cannot ask about disputes with a previous rental provider when applying.,"['RG_P35', 'RG_P38', 'RG_P04', 'RG_P23', 'RG_P07']",1,['RG_P07'],Supported by the application rules.,1.0
K02,Known,1,A rental provider cannot accept an offer above the advertised rent.,"['RG_P08', 'RG_P21', 'MS_P01', 'RG_P12', 'RG_P13']",1,['RG_P08'],Supported by the rental bidding rules.,1.0
K03,Known,1,A Victorian rental property must have a fixed heater in good working order in the main living area.,"['RG_P13', 'MS_P01', 'RG_P39', 'RG_P17', 'RG_P04']",1,"['RG_P13', 'MS_P01']",Both retrieved chunks support the fixed-heater requirement.,0.0
K04,Known,1,The completed condition report must be returned within 5 business days.,"['RG_P23', 'RG_P17', 'RG_P19', 'RG_P34', 'RG_P36']",1,"['RG_P17', 'RG_P19']",Supported by the condition report requirements.,1.0
K05,Known,1,"If rent is paid weekly, up to 2 weeks rent can be requested in advance.","['RG_P21', 'RG_P22', 'RG_P17', 'RG_P23', 'RG_P08']",1,['RG_P21'],Supported by the weekly rent-in-advance rule.,0.0
K05,Known,2,"If rent is paid monthly and weekly rent is $900 or less, up to one month rent can be requested in advance.","['RG_P21', 'RG_P22', 'RG_P17', 'RG_P23', 'RG_P08']",1,['RG_P21'],Supported by the monthly rent-in-advance rule.,0.0
K06,Known,1,At least 90 days notice must be given before a rent increase.,"['RG_P23', 'RG_P22', 'RG_P17', 'RG_P24', 'RG_P18']",1,['RG_P22'],Supported by the 90-day rent increase notice rule.,0.0
K07,Known,1,A broken toilet is considered an urgent repair.,"['RG_P24', 'RG_P25', 'RG_P26', 'RG_P15', 'MS_P01']",1,['RG_P24'],A broken toilet is explicitly listed as an urgent repair.,1.0
K08,Known,1,A rental provider who wants to refuse a pet request must apply to VCAT within 14 days.,"['RG_P28', 'RG_P23', 'RG_P22', 'RG_P29', 'RG_P34']",1,['RG_P28'],Supported by the pet refusal process.,1.0
K08,Known,2,VCAT decides whether refusing consent is reasonable.,"['RG_P28', 'RG_P23', 'RG_P22', 'RG_P29', 'RG_P34']",1,['RG_P28'],Supported by the pet refusal process.,1.0
I01,Inferred,1,A non-working fixed heater is a non-urgent repair.,"['RG_P25', 'RG_P26', 'MS_P01', 'RG_P23', 'RG_P13']",0,[],The retrieved evidence does not support classifying a non-working fixed heater as non-urgent.,
I01,Inferred,2,"If the rental provider does not respond, the renter can organise and pay for the repair if it costs no more than $2500.","['RG_P25', 'RG_P26', 'MS_P01', 'RG_P23', 'RG_P13']",0,[],"RG_P25 allows self-arranged repairs up to $2500 for urgent repairs, but the generated answer incorrectly applies this after classifying the heater issue as non-urgent.",
I01,Inferred,3,The renter can request reimbursement using the relevant notice form.,"['RG_P25', 'RG_P26', 'MS_P01', 'RG_P23', 'RG_P13']",0,[],"The reimbursement process is tied to the urgent-repair process, which the generated answer incorrectly applies to a repair it classified as non-urgent.",
I02,Inferred,1,At least 90 days notice must be provided before a rent increase takes effect.,"['RG_P23', 'RG_P22', 'RG_P17', 'RG_P18', 'RG_P25']",1,['RG_P22'],Supported by the rent increase notice rules.,0.0
I02,Inferred,2,A renter can ask Consumer Affairs Victoria to investigate an excessive rent increase.,"['RG_P23', 'RG_P22', 'RG_P17', 'RG_P18', 'RG_P25']",1,['RG_P23'],Supported by the rent assessment process.,0.0
I02,Inferred,3,The rent assessment request can be made within 30 days of receiving the rent increase notice.,"['RG_P23', 'RG_P22', 'RG_P17', 'RG_P18', 'RG_P25']",1,['RG_P23'],Supported by the 30-day assessment deadline.,0.0
I03,Inferred,1,Pre-existing damage can be disputed using evidence from the original condition report.,"['RG_P35', 'RG_P23', 'RG_P34', 'RG_P17', 'RG_P26']",1,['RG_P17'],The condition report can document pre-existing damage.,1.0
I03,Inferred,2,Photos can be used as evidence that damage existed before the renter moved in.,"['RG_P35', 'RG_P23', 'RG_P34', 'RG_P17', 'RG_P26']",1,['RG_P17'],Photos can be used to document the property's condition.,1.0
I04,Inferred,1,A rental provider cannot evict a renter because they exercised their rental rights.,"['RG_P23', 'RG_P33', 'RG_P26', 'RG_P25', 'RG_P32']",1,['RG_P33'],Supported by the protection against eviction for exercising rental rights.,0.0
I04,Inferred,2,A rental provider can only end the agreement for specific reasons.,"['RG_P23', 'RG_P33', 'RG_P26', 'RG_P25', 'RG_P32']",1,"['RG_P32', 'RG_P33']",Supported by the notice-to-vacate requirements.,1.0
I04,Inferred,3,The rental provider must provide the required amount of notice.,"['RG_P23', 'RG_P33', 'RG_P26', 'RG_P25', 'RG_P32']",1,['RG_P32'],Supported by the required notice period.,1.0
I04,Inferred,4,The required notice is usually 90 days.,"['RG_P23', 'RG_P33', 'RG_P26', 'RG_P25', 'RG_P32']",1,['RG_P32'],The guide states that the notice period is usually 90 days.,1.0
I04,Inferred,5,The notice must be given in the correct written form and include the reason.,"['RG_P23', 'RG_P33', 'RG_P26', 'RG_P25', 'RG_P32']",1,['RG_P32'],Supported by the written Notice to vacate requirements.,1.0
O01,Out-of-KB,1,A renter cannot sublet a rental property without the rental provider's permission.,"['RG_P23', 'RG_P29', 'RG_P22', 'RG_P17', 'RG_P36']",0,[],None of the retrieved chunks contain information supporting the subletting claim.,
O03,Out-of-KB,1,A rental provider cannot install security cameras inside the rental property without the renter's consent.,"['RG_P23', 'RG_P15', 'MS_P01', 'RG_P08', 'RG_P28']",0,[],None of the retrieved chunks contain information supporting the security-camera claim.,
