question_id,question_type,fact_number,gold_fact,generated_answer,covered,review_notes
K01,Known,1,A rental provider or agent cannot ask whether the applicant has taken legal action or had a dispute with a previous rental provider.,"No, a rental provider cannot ask you about disputes with a previous landlord when you apply. According to [RG_P07] Renters Guide - Page 7, ""The rental provider or agent cannot ask you for the following information in your application: ... whether you’ve taken legal action or had a dispute with a previous rental provider.""",1,
K02,Known,1,Rental providers or agents cannot accept an offer above the advertised rent.,"No, a rental provider cannot accept an offer above the advertised rent. According to [RG_P08], it is unlawful for rental providers or agents to ask for, invite or accept offers of rent higher than the advertised price.",1,
K03,Known,1,The property must have a fixed heater in good working order in the main living area.,"Yes, a Victorian rental property must have a fixed heater in the main living area that is in good working order. (RG_P39)",1,
K03,Known,2,"For rental agreements starting from 29 March 2023, the heater must be energy efficient.","Yes, a Victorian rental property must have a fixed heater in the main living area that is in good working order. (RG_P39)",0,
K04,Known,1,The completed and signed condition report must be returned within 5 business days of moving in.,You have 5 business days to return your completed condition report after moving in. (RG_P17),1,
K05,Known,1,"If rent is paid weekly, no more than 2 weeks rent can be requested in advance.","You can be asked to pay up to 2 weeks' rent in advance if the rent is payable weekly, or 1 month's rent in advance if the rent is payable monthly and the weekly rent is $900 or less.",1,
K05,Known,2,"If rent is paid monthly and weekly rent is $900 or less, no more than one month rent can be requested in advance.","You can be asked to pay up to 2 weeks' rent in advance if the rent is payable weekly, or 1 month's rent in advance if the rent is payable monthly and the weekly rent is $900 or less.",1,
K05,Known,3,Different rules apply when weekly rent is above $900.,"You can be asked to pay up to 2 weeks' rent in advance if the rent is payable weekly, or 1 month's rent in advance if the rent is payable monthly and the weekly rent is $900 or less.",0,
K06,Known,1,A Notice of rent increase must be provided at least 90 days before the increase takes effect.,You must receive at least 90 days' notice before your rent is increased. (RG_P24),1,
K07,Known,1,A blocked or broken toilet system is an urgent repair.,"Yes, a broken toilet is considered an urgent repair (see [RG_P24] Renters Guide - Page 24).",1,
K07,Known,2,Urgent repairs must be dealt with immediately.,"Yes, a broken toilet is considered an urgent repair (see [RG_P24] Renters Guide - Page 24).",0,
K08,Known,1,A rental provider who wants to refuse a pet request must apply to VCAT within 14 days.,"If your rental provider wants to refuse your request to keep a pet, they must apply to VCAT within 14 days. VCAT will then decide whether it is reasonable for the rental provider to refuse consent. (RG_P28)",1,
K08,Known,2,VCAT decides whether refusing consent is reasonable.,"If your rental provider wants to refuse your request to keep a pet, they must apply to VCAT within 14 days. VCAT will then decide whether it is reasonable for the rental provider to refuse consent. (RG_P28)",1,
I01,Inferred,1,A rental property must have a working fixed heater in the main living area.,"A non-working fixed heater is considered a non-urgent repair. If the rental provider does not respond, you can organise and pay for the repair yourself, as long as the repair does not cost more than $2500. You can use the 'Notice to rental provider of rented premises' form to request reimbursement for the repair.",0,
